NodeA,NodeB,Weights
0,7971,1.0
0,4939,1.0
0,2075,1.0
0,3049,1.0
0,12460,1.0
0,9310,1.0
0,12467,1.0
0,8586,1.0
0,13069,1.0
0,1076,1.0
1,1048,1.0
1,13052,1.0
1,12681,1.0
1,5019,1.0
1,7403,1.0
1,11630,1.0
1,2041,1.0
1,9526,1.0
1,11354,1.0
1,6961,0.0
2,6392,1.0
2,4435,1.0
2,4618,1.0
2,9938,1.0
2,579,1.0
2,1512,1.0
2,2175,1.0
2,59,1.0
2,289,1.0
2,4099,0.0
3,4447,1.0
3,11721,1.0
3,9851,1.0
3,11944,1.0
3,7078,1.0
3,8782,1.0
3,5878,1.0
3,13136,1.0
3,4865,1.0
3,7041,1.0
4,9616,1.0
4,6937,1.0
4,5333,1.0
4,11953,1.0
4,5999,1.0
4,82,1.0
4,924,1.0
4,2801,1.0
4,3537,0.0
4,8462,0.0
5,3959,1.0
5,1063,1.0
5,4608,1.0
5,2853,1.0
5,10391,1.0
5,4864,1.0
5,4213,1.0
5,12938,1.0
5,290,1.0
5,9243,1.0
6,309,1.0
6,11924,1.0
6,12707,1.0
6,2916,1.0
6,5726,1.0
6,6984,1.0
6,1076,1.0
6,2488,1.0
6,1507,0.0
6,7234,0.0
7,240,1.0
7,7939,1.0
7,8869,1.0
7,8962,1.0
7,11210,1.0
7,9503,1.0
7,468,1.0
7,2406,1.0
7,11015,0.0
7,7202,0.0
8,6463,1.0
8,6249,1.0
8,10927,1.0
8,7150,1.0
8,11147,1.0
8,9132,1.0
8,639,1.0
8,12691,0.0
8,6394,0.0
8,4825,0.0
9,861,1.0
9,11318,1.0
9,8601,1.0
9,12230,1.0
9,12368,1.0
9,10038,1.0
9,3350,1.0
9,12892,0.0
9,10854,0.0
9,4704,0.0
10,1741,1.0
10,9881,1.0
10,447,1.0
10,9641,1.0
10,4577,1.0
10,1238,1.0
10,7538,1.0
10,12194,1.0
10,4217,1.0
10,2406,1.0
11,6347,1.0
11,6503,1.0
11,345,1.0
11,1168,1.0
11,8674,1.0
11,12500,1.0
11,749,1.0
11,5342,1.0
11,4203,1.0
11,8543,1.0
12,12530,1.0
12,10285,1.0
12,4423,1.0
12,6731,1.0
12,3150,1.0
12,12258,1.0
12,10762,1.0
12,7124,1.0
12,5592,1.0
12,9033,1.0
13,1624,1.0
13,13164,1.0
13,1162,1.0
13,2095,1.0
13,11021,1.0
13,3549,1.0
13,4189,1.0
13,5359,1.0
13,5264,1.0
13,12596,0.0
14,5055,1.0
14,7108,1.0
14,3444,1.0
14,6473,1.0
14,10420,1.0
14,2191,1.0
14,13022,1.0
14,1889,1.0
14,1028,1.0
14,1588,0.0
15,6109,1.0
15,12838,1.0
15,1044,1.0
15,3783,1.0
15,10719,1.0
15,3639,1.0
15,1253,1.0
15,1313,1.0
15,10278,1.0
15,11894,0.0
16,12578,1.0
16,1129,1.0
16,12009,1.0
16,11595,1.0
16,2595,1.0
16,10863,1.0
16,8935,1.0
16,9016,1.0
